4216,55477,0718,3.028,11.1966
4296,55499,0630,2.343,22.0865
4216,55477,0746,2.368,14.3285
4216,55477,0210,3.06,10.1654
4277,55506,0098,2.154,17.4062
4217,55478,0519,2.896,23.338
4296,55499,0664,3.025,12.0768
4216,55477,0844,2.888,16.2719
4216,55477,0860,2.156,11.5154
4216,55477,0166,2.817,19.8721
4216,55477,0173,2.648,11.1254
4216,55477,0856,3.07,19.0074
4296,55499,0212,2.808,14.3014
4296,55499,0213,2.226,16.4551
4296,55499,0756,2.387,24.0553
4277,55506,0997,2.568,12.1351
4217,55478,0532,2.596,14.1528
4217,55478,0609,2.862,10.2049
4296,55499,0892,2.605,15.4787
4365,55539,0594,2.251,10.54
4365,55539,0614,3.37,10.7633
4365,55539,0628,2.948,17.122
4296,55499,0952,3.559,18.6427
4296,55499,0004,3.413,14.7324
4218,55479,0512,2.38,13.0961
4217,55478,0864,2.462,11.9939
4218,55479,0464,2.243,11.9836
4365,55539,0204,2.749,15.2678
4217,55478,0933,2.272,24.5201
4217,55478,0096,3.148,19.2377
4218,55479,0592,2.86,19.7182
4218,55479,0582,3.107,15.0833
4218,55479,0394,3.009,34.0118
4217,55478,0948,2.29,19.5596
4365,55539,0874,2.305,17.6536
4217,55478,0060,3.255,11.4817
4218,55479,0696,2.625,19.9885
4217,55478,0020,2.164,17.0586
4218,55479,0757,3.081,19.2423
4218,55479,0252,2.88,12.7955
4366,55536,0580,2.317,18.2588
4366,55536,0546,2.67,13.0988
4218,55479,0202,2.714,11.9126
4218,55479,0818,2.83,20.0213
4298,55511,0108,3.021,13.8617
4218,55479,0852,3.694,17.1547
4218,55479,0888,3.065,14.8129
4298,55511,0928,2.962,13.351
4218,55479,0876,2.313,11.2323
4218,55479,0147,2.08,40.2984
4218,55479,0155,2.251,12.114
4298,55511,0972,2.65,13.6635
4219,55480,0460,2.249,13.2393
4366,55536,0800,2.479,11.8334
4300,55528,0552,2.466,11.6027
4218,55479,0972,3.33,12.8273
